mode; se_or_pa; number; solver; ver; instance; timeout; width; validation_result; exit_status; time_real; time_user; time_sys; time_perc; time_mem
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; 4x12_torusGrid.gr; 100; -1; 2; 124; 100.02; 99.10; 1.02; 100%; 453384
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; 8x6_torusGrid.gr; 100; -1; 2; 124; 100.05; 98.85; 1.28; 100%; 652796
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; AhrensSzekeresGeneralizedQuadrangleGraph_3.gr; 100; 18; 0; 0; 3.76; 2.59; 2.46; 134%; 80496
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; BalancedTree_3,5.gr; 100; 2; 0; 0; 0.16; 0.13; 0.02; 96%; 24792
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; BlanusaSecondSnarkGraph.gr; 100; 5; 0; 0; 1.59; 0.98; 1.46; 153%; 77712
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; BrinkmannGraph.gr; 100; 9; 0; 0; 2.28; 2.53; 2.31; 212%; 85636
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; ChvatalGraph.gr; 100; 7; 0; 0; 0.57; 0.50; 0.82; 231%; 67232
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; ClebschGraph.gr; 100; 9; 0; 0; 1.11; 0.82; 1.32; 193%; 74632
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; CycleGraph_100.gr; 100; 3; 0; 0; 0.22; 0.19; 0.02; 97%; 33984
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; DesarguesGraph.gr; 100; 7; 0; 0; 1.98; 2.61; 2.07; 235%; 76296
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; DodecahedralGraph.gr; 100; 7; 0; 0; 2.18; 3.50; 1.97; 250%; 79768
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; DorogovtsevGoltsevMendesGraph.gr; 100; 3; 0; 0; 5.83; 5.60; 0.22; 99%; 183472
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; DoubleStarSnark.gr; 100; -1; 2; 124; 100.01; 56.35; 40.89; 97%; 90296
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; DyckGraph.gr; 100; 8; 0; 0; 90.29; 89.40; 0.96; 100%; 418940
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; ErreraGraph.gr; 100; 7; 0; 0; 1.20; 0.92; 1.57; 208%; 77596
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; FibonacciTree_10.gr; 100; 2; 0; 0; 0.15; 0.13; 0.01; 95%; 24556
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; FlowerSnark.gr; 100; 7; 0; 0; 2.08; 2.75; 1.51; 204%; 89588
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; FolkmanGraph.gr; 100; 7; 0; 0; 1.97; 1.51; 1.98; 177%; 75644
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; FriendshipGraph_10.gr; 100; 3; 0; 0; 0.13; 0.11; 0.00; 94%; 19148
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_10_0.gr; 100; 5; 0; 0; 0.25; 0.30; 1.14; 570%; 39280
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_10_1.gr; 100; 4; 0; 0; 0.14; 0.12; 0.00; 93%; 17124
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_20_0.gr; 100; 7; 0; 0; 0.73; 0.61; 1.17; 242%; 71236
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_20_1.gr; 100; 8; 0; 0; 0.53; 0.60; 1.27; 354%; 58920
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_30_0.gr; 100; 9; 0; 0; 1.32; 0.91; 1.34; 171%; 79248
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_30_1.gr; 100; 9; 0; 0; 0.95; 0.73; 1.30; 214%; 77240
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_40_0.gr; 100; 11; 0; 0; 1.54; 0.98; 1.26; 145%; 77952
